episode,miss,1피,2피,총보상
100,1.0000,0.0000,0.0000,-47.20
200,0.9900,0.0100,0.0000,-48.50
300,0.9900,0.0100,0.0000,-47.80
400,1.0000,0.0000,0.0000,-49.30
500,0.9900,0.0100,0.0000,-45.70
600,0.9900,0.0100,0.0000,-47.80
700,0.9800,0.0200,0.0000,-45.60
800,0.9700,0.0200,0.0100,-45.50
900,0.9600,0.0400,0.0000,-42.60
1000,0.9700,0.0200,0.0100,-45.50
1100,1.0000,0.0000,0.0000,-50.00
1200,1.0000,0.0000,0.0000,-50.00
1300,1.0000,0.0000,0.0000,-49.30
1400,0.9700,0.0200,0.0100,-44.10
1500,0.9500,0.0400,0.0100,-32.70
1600,0.9300,0.0700,0.0000,-37.40
1700,0.9700,0.0100,0.0200,-37.10
1800,0.9500,0.0500,0.0000,-41.80
1900,0.9800,0.0100,0.0100,-45.60
2000,0.9900,0.0000,0.0100,-38.70
2100,0.9800,0.0100,0.0100,-37.90
2200,0.9700,0.0100,0.0200,-44.80
2300,0.9800,0.0200,0.0000,-46.30
2400,0.9800,0.0100,0.0100,-39.30
2500,0.9900,0.0100,0.0000,-47.10
2600,0.9600,0.0300,0.0100,-34.90
2700,0.9700,0.0200,0.0100,-38.50
2800,0.9700,0.0300,0.0000,-45.50
2900,0.9600,0.0300,0.0100,-43.30
3000,0.9800,0.0100,0.0100,-46.30
3100,0.9400,0.0500,0.0100,-31.90
3200,0.9900,0.0100,0.0000,-48.50
